series,year,gross_er,net_er,fee,is_etf_ever,aum,is_active,is_levinv
S000003028,2016.0,0.0061,,0.0061,True,,,
S000003028,2017.0,0.0061,,0.0061,True,,,
S000003028,2018.0,0.0065,0.0063,0.0063,True,,,
S000003028,2019.0,0.0063,,0.0063,True,116561038.9575,False,False
S000003028,2020.0,0.0069,0.0063,0.0063,True,56494661.525,False,False
S000003028,2021.0,0.0055,,0.0055,True,732358089.084167,False,False
S000003028,2022.0,0.0055,,0.0055,True,1419109199.89,False,False
S000003028,2023.0,0.0058,,0.0058,True,701062215.8,False,False
S000003028,2024.0,0.0057,,0.0057,True,335884097.36,False,False
S000003028,2025.0,0.0057,,0.0057,True,269821644.6633333,False,False
S000003029,2011.0,0.0069,0.0063,0.0063,True,,,
S000003029,2012.0,0.0065,0.0063,0.0063,True,,,
S000003029,2013.0,0.0063,,0.0063,True,,,
S000003029,2014.0,0.0062,,0.0062,True,,,
S000003029,2015.0,0.0059,,0.0059,True,,,
S000003029,2016.0,0.0061,,0.0061,True,,,
S000003029,2017.0,0.0063,,0.0063,True,,,
S000003029,2018.0,0.0068,0.0063,0.0063,True,,,
S000003029,2019.0,0.0067,0.0063,0.0063,True,61567628.5191667,False,False
S000003029,2020.0,0.0066,0.0063,0.0063,True,51195674.265,False,False
S000003029,2021.0,0.0072,0.0063,0.0063,True,51989655.0316667,False,False
S000003029,2022.0,0.0063,,0.0063,True,89575540.3933333,False,False
S000003029,2023.0,0.0077,0.006,0.006,True,34785676.7883333,False,False
S000003029,2024.0,0.0083,0.0061,0.0061,True,31184467.4745455,False,False
S000003029,2025.0,0.0071,0.0062,0.0062,True,58948915.83583333,False,False
S000003030,2011.0,0.007,0.0063,0.0063,True,,,
S000003030,2012.0,0.0067,0.0063,0.0063,True,,,
S000003030,2013.0,0.0075,0.0064,0.0064,True,,,
S000003030,2014.0,0.0082,0.0063,0.0063,True,,,
S000003030,2015.0,0.0085,0.0063,0.0063,True,,,
S000003030,2016.0,0.0088,0.0063,0.0063,True,,,
S000003030,2017.0,0.0089,0.0063,0.0063,True,,,
S000003030,2018.0,0.0083,0.0063,0.0063,True,,,
S000003030,2019.0,0.0064,0.0063,0.0063,True,70096934.865,False,False
S000003030,2020.0,0.0064,0.0063,0.0063,True,59265845.62,False,False
S000003030,2021.0,0.0073,0.0063,0.0063,True,51364958.6416667,False,False
S000003030,2022.0,0.0069,0.0063,0.0063,True,46748890.1758333,False,False
S000003030,2023.0,0.004,,0.004,True,38306081.6166667,False,False
S000003030,2024.0,0.004,,0.004,True,39572908.2536364,False,False
S000003030,2025.0,0.004,,0.004,True,38714596.48666667,False,False
S000003031,2011.0,0.0076,0.0063,0.0063,True,,,
S000003031,2012.0,0.0064,0.0063,0.0063,True,,,
S000003031,2013.0,0.0063,,0.0063,True,,,
S000003031,2014.0,0.0058,,0.0058,True,,,
S000003031,2015.0,0.0056,,0.0056,True,,,
S000003031,2016.0,0.0057,,0.0057,True,,,
S000003031,2017.0,0.0056,,0.0056,True,,,
S000003031,2018.0,0.0057,,0.0057,True,,,
S000003031,2019.0,0.0056,,0.0056,True,512190737.235,False,False
S000003031,2020.0,0.0056,,0.0056,True,362172773.42,False,False
S000003031,2021.0,0.0058,,0.0058,True,351146892.9725,False,False
S000003031,2022.0,0.0056,,0.0056,True,391135287.218333,False,False
S000003031,2023.0,0.0057,,0.0057,True,317013137.305,False,False
S000003031,2024.0,0.0056,,0.0056,True,274515207.91,False,False
S000003031,2025.0,0.0057,,0.0057,True,272635879.38166666,False,False
S000003032,2011.0,0.0097,0.0063,0.0063,True,,,
S000003032,2012.0,0.0102,0.0063,0.0063,True,,,
S000003032,2013.0,0.0105,0.0063,0.0063,True,,,
S000003032,2014.0,0.0105,0.0063,0.0063,True,,,
S000003032,2015.0,0.0078,0.0063,0.0063,True,,,
S000003032,2016.0,0.0068,0.0063,0.0063,True,,,
S000003032,2017.0,0.0063,,0.0063,True,,,
S000003032,2018.0,0.0061,,0.0061,True,,,
S000003032,2019.0,0.0058,,0.0058,True,236011572.2625,False,False
S000003032,2020.0,0.0057,,0.0057,True,201639770.141667,False,False
S000003032,2021.0,0.0056,,0.0056,True,389062013.566667,False,False
S000003032,2022.0,0.0055,,0.0055,True,752078512.085,False,False
S000003032,2023.0,0.0057,,0.0057,True,522007072.483333,False,False
S000003032,2024.0,0.0056,,0.0056,True,672530724.22,False,False
S000003032,2025.0,0.0056,,0.0056,True,745848171.6991668,False,False
S000003033,2011.0,0.0077,0.0063,0.0063,True,,,
S000003033,2012.0,0.0078,0.0063,0.0063,True,,,
S000003033,2013.0,0.0074,0.0063,0.0063,True,,,
S000003033,2014.0,0.0069,0.0063,0.0063,True,,,
S000003033,2015.0,0.0071,0.0063,0.0063,True,,,
S000003033,2016.0,0.0066,0.0063,0.0063,True,,,
S000003033,2017.0,0.0064,0.0063,0.0063,True,,,
S000003033,2018.0,0.0063,,0.0063,True,,,
S000003033,2019.0,0.0058,,0.0058,True,285508083.726667,False,False
S000003033,2020.0,0.0056,,0.0056,True,477124820.195833,False,False
S000003033,2021.0,0.0056,,0.0056,True,586090659.885,False,False
S000003033,2022.0,0.0056,,0.0056,True,431318943.350833,False,False
S000003033,2023.0,0.0061,0.006,0.006,True,198096263.6075,False,False
